id,Cost,Cost per min,0min,5min,10min,15min,20min,25min,30min
1,300,150,300,1050,1800,2550,3300,4050,4800
2,500,150,500,1250,2000,2750,3500,4250,5000
3,0,150,0,750,1500,2250,3000,3750,4500
4,0,198,0,990,1980,2970,3960,4950,5940
5,600,180,600,1500,2400,3300,4200,5100,6000
6,1200,180,1200,2100,3000,3900,4800,5700,6600
7,300,140,300,1000,1700,2400,3100,3800,4500
8,350,150,350,1100,1850,2600,3350,4100,4850
9,"1,000",100,1000,1500,2000,2500,3000,3500,4000
10,1000,180,1000,1900,2800,3700,4600,5500,6400
11,0,100,0,500,1000,1500,2000,2500,3000
12,300,140,300,1000,1700,2400,3100,3800,4500
13,1000,150,1000,1750,2500,3250,4000,4750,5500
